walk_size, nworkers, batch_size, |V|, |E|, tempo, memoria
2,1,5,6,5,0.985023021697998,557932
2,1,5,6,5,0.9703960418701172,558040
2,1,5,6,5,1.1255848407745361,557784
2,1,5,6,5,0.9613032341003418,558180
2,1,5,6,5,0.9933843612670898,558452
4,1,5,8,7,1.1747851371765137,558176
4,1,5,8,7,1.1345767974853516,559060
4,1,5,8,7,1.1933088302612305,558132
4,1,5,8,7,1.082777976989746,558428
4,1,5,8,7,1.0698285102844238,559072
6,1,5,8,7,1.2176613807678223,558148
6,1,5,8,7,1.1064765453338623,558676
6,1,5,8,7,1.1351892948150635,558660
6,1,5,8,7,1.0862674713134766,558276
6,1,5,8,7,1.1693575382232666,558072
8,1,5,14,13,1.4075384140014648,558320
8,1,5,14,13,1.4965367317199707,558540
8,1,5,14,13,1.556885004043579,558336
8,1,5,14,13,1.3198201656341553,558380
8,1,5,14,13,1.3045496940612793,558900
10,1,5,12,12,2.2695512771606445,558272
10,1,5,12,12,2.4590489864349365,558588
10,1,5,12,12,2.311742067337036,558392
10,1,5,12,12,2.5130789279937744,558288
10,1,5,12,12,2.3265888690948486,558008
12,1,5,8,7,1.391258716583252,557932
12,1,5,8,7,1.437098741531372,558580
12,1,5,8,7,1.451256513595581,558324
12,1,5,8,7,1.3959259986877441,557740
12,1,5,8,7,1.4392163753509521,558572
14,1,5,13,13,21.930827379226685,557784
14,1,5,13,13,22.241328716278076,558812
14,1,5,13,13,22.329233407974243,557588
14,1,5,13,13,22.735458850860596,557784
14,1,5,13,13,20.31015658378601,558764
16,1,5,7,6,1.080329418182373,558732
16,1,5,7,6,1.0865535736083984,558036
16,1,5,7,6,1.0969815254211426,557840
16,1,5,7,6,1.1158559322357178,557820
16,1,5,7,6,1.1567566394805908,558060
18,1,5,10,9,1.7114551067352295,557676
18,1,5,10,9,1.807729721069336,557932
18,1,5,10,9,1.6603798866271973,557948
18,1,5,10,9,1.657867193222046,558128
18,1,5,10,9,1.8466613292694092,557608
2,1,15,6,5,0.7208113670349121,560112
2,1,15,6,5,0.7486667633056641,560732
2,1,15,6,5,0.7171947956085205,560536
2,1,15,6,5,0.6947746276855469,561032
2,1,15,6,5,0.7209815979003906,559980
4,1,15,8,7,0.8134794235229492,560460
4,1,15,8,7,0.9425756931304932,560360
4,1,15,8,7,0.7507259845733643,560160
4,1,15,8,7,0.7296390533447266,560244
4,1,15,8,7,0.763655424118042,560488
6,1,15,8,7,0.7555830478668213,560056
6,1,15,8,7,0.7772030830383301,560036
6,1,15,8,7,0.7517080307006836,560864
6,1,15,8,7,0.7462406158447266,560600
6,1,15,8,7,0.762190580368042,560548
8,1,15,14,13,1.114567756652832,560968
8,1,15,14,13,1.1554508209228516,560256
8,1,15,14,13,1.1491014957427979,560108
