nworkers, batch_size, walk_size, |E|, media de tempo, limite inferior, limete superior
1,5,2,5,1.0071382999420166,0.9234785995331078,1.0907980003509254
1,5,4,7,1.1310554504394532,1.0633886889015818,1.1987222119773246
1,5,6,7,1.1429904460906983,1.078225464967823,1.2077554272135738
1,5,8,13,1.4170660018920898,1.28094598826047,1.5531860155237096
1,5,10,12,2.3760020256042482,2.2463839022138394,2.505620148994657
1,5,12,7,1.4229512691497803,1.388943076827343,1.4569594614722177
1,5,14,13,21.909400987625123,20.74348434046869,23.075317634781555
1,5,16,6,1.1072954177856444,1.0691081405887362,1.1454826949825527
1,5,18,9,1.7368186473846436,1.6296224774649182,1.8440148173043691
1,15,2,5,0.7204858303070069,0.6967118262574045,0.7442598343566093
1,15,4,7,0.8000151157379151,0.6939108737893009,0.9061193576865292
1,15,6,7,0.7585850715637207,0.7437847509094381,0.7733853922180033
1,15,8,13,1.1165546417236327,1.0674579723060327,1.1656513111412328
1,15,10,12,2.205692720413208,2.051660895647668,2.3597245451787483
1,15,12,7,1.2673606395721435,1.2050415507895336,1.3296797283547535
1,15,14,13,23.036062669754028,20.80337093206925,25.268754407438806
1,15,16,6,0.8286128520965577,0.7303022005157568,0.9269235036773585
1,15,18,9,1.4333088874816895,1.3578469511202118,1.5087708238431672
1,25,2,5,0.6237310886383056,0.6090215013955793,0.6384406758810319
1,25,4,7,0.6596458911895752,0.6242369850250276,0.6950547973541228
1,25,6,7,0.6558155059814453,0.6470026511216701,0.6646283608412206
1,25,8,13,0.9507676124572754,0.8866654357215376,1.0148697891930132
1,25,10,12,1.9425629138946534,1.8115202909139918,2.073605536875315
1,25,12,7,1.128863763809204,1.078587100293295,1.1791404273251131
1,25,14,13,21.56858358383179,19.286035299288976,23.8511318683746
1,25,16,6,0.904686164855957,0.8608266759061285,0.9485456538057855
1,25,18,9,1.39687819480896,1.2231202930805236,1.5706360965373962
2,5,2,5,0.7574337482452392,0.7366919949295596,0.7781755015609189
2,5,4,7,0.7894572734832763,0.7490510937534918,0.8298634532130609
2,5,6,7,0.7896807670593262,0.7426308518362786,0.8367306822823738
2,5,8,13,0.940667200088501,0.9145625990284313,0.9667718011485708
2,5,10,12,1.6738772869110108,1.6404115697350539,1.7073430040869677
2,5,12,7,0.9384684562683105,0.85817538959463,1.018761522941991
2,5,14,13,14.478590536117554,13.845010320320755,15.112170751914354
2,5,16,6,0.8998653888702393,0.8812613429845968,0.9184694347558817
2,5,18,9,1.1299489974975585,1.083711200270031,1.176186794725086
2,15,2,5,0.5587487697601319,0.5234852319455656,0.5940123075746981
2,15,4,7,0.5756784439086914,0.5536065718453045,0.5977503159720783
2,15,6,7,0.5790102481842041,0.5706036429009463,0.5874168534674619
2,15,8,13,0.7721320629119873,0.6965759653044622,0.8476881605195125
2,15,10,12,1.3960187435150146,1.3179653955581292,1.4740720914719
2,15,12,7,0.9023746490478516,0.8411332323303481,0.9636160657653551
2,15,14,13,15.245211982727051,14.221565129403057,16.268858836051045
2,15,16,6,0.6697919845581055,0.6514428091159665,0.6881411600002445
2,15,18,9,0.9373044490814209,0.8023208665675685,1.0722880315952732
2,25,2,5,0.5317822456359863,0.5179287972241937,0.5456356940477789
2,25,4,7,0.5592126369476318,0.5466278920421694,0.5717973818530941
2,25,6,7,0.5620673656463623,0.5505648396768502,0.5735698916158743
2,25,8,13,0.7522859096527099,0.7033020478961188,0.801269771409301
2,25,10,12,1.5211217880249024,1.440886286406144,1.6013572896436608
2,25,12,7,0.8077919483184814,0.707765423012696,0.9078184736242669
2,25,14,13,14.624179267883301,13.467382024711613,15.78097651105499
2,25,16,6,0.6130598068237305,0.5830434457801014,0.6430761678673597
2,25,18,9,0.9367690086364746,0.7624659164321463,1.1110721008408029
4,5,2,5,0.8217640876770019,0.7025727597746921,0.9409554155793117
4,5,4,7,0.7635488986968995,0.6907115881608061,0.8363862092329928
4,5,6,7,0.7247998714447021,0.674202107434428,0.7753976354549763
4,5,8,13,0.8057539939880372,0.7973861733913714,0.8141218145847029
4,5,10,12,1.280379629135132,1.236946426654243,1.323812831616021
4,5,12,7,0.7140134334564209,0.6317288649639166,0.7962980019489252
4,5,14,13,10.058698368072509,9.3197211310853,10.797675605059718
4,5,16,6,0.6112425804138184,0.5608505835452635,0.6616345772823733
4,5,18,9,0.9234266757965088,0.6977389717206556,1.149114379872362
4,15,2,5,0.594173526763916,0.43713893043095353,0.7512081230968785
4,15,4,7,0.4851668834686279,0.4358184455768104,0.5345153213604454
4,15,6,7,0.5207664966583252,0.42187507701242805,0.6196579163042224
4,15,8,13,0.6150795459747315,0.48446291279135223,0.7456961791581107
4,15,10,12,1.0028619766235352,0.9016360284394168,1.1040879248076536
4,15,12,7,0.6271709442138672,0.6082866555668748,0.6460552328608596
4,15,14,13,10.114263486862182,9.329783435188192,10.898743538536172
