nworkers, batch_size, walk_size, speedup, eficiencia,fração, karp_flatt, |E|
2,5,2,1.147573285672763,0.5737866428363815,0.14757328567276295,0.7428080846509975,17
2,5,4,1.36916475324116,0.68458237662058,0.36916475324115994,0.46074458553325526,14
2,5,6,1.4598826171708779,0.7299413085854389,0.45988261717087786,0.36997315844188994,27
2,5,8,1.6916156916650802,0.8458078458325401,0.6916156916650802,0.1823016361543519,10
2,5,10,1.4226087868525639,0.7113043934262819,0.42260878685256387,0.4058678805329745,6
2,5,12,1.471667501240778,0.735833750620389,0.47166750124077805,0.3590026268255426,36
2,5,14,1.1019761675733948,0.5509880837866974,0.10197616757339478,0.8149212831018817,51
2,5,16,1.0452507938917874,0.5226253969458937,0.04525079389178743,0.9134163893369458,30
2,5,18,1.346917154328098,0.673458577164049,0.346917154328098,0.4848723201522285,24
2,15,2,1.4118275940111151,0.7059137970055576,0.41182759401111513,0.41660356298734746,17
2,15,4,1.6361040698901415,0.8180520349450707,0.6361040698901415,0.22241612670414845,14
2,15,6,1.4364079339415374,0.7182039669707687,0.43640793394153743,0.39236212272369775,27
2,15,8,1.4872581548852284,0.7436290774426142,0.4872581548852284,0.34475645228809637,10
2,15,10,1.5401720479221541,0.7700860239610771,0.5401720479221541,0.2985562247400866,6
2,15,12,1.4684697787680385,0.7342348893840193,0.4684697787680385,0.3619619749191465,36
2,15,14,1.3768589659856547,0.6884294829928274,0.3768589659856547,0.45258160015558024,51
2,15,16,1.311539477576248,0.655769738788124,0.3115394775762479,0.5249255048700794,30
2,15,18,1.5592646513283637,0.7796323256641818,0.5592646513283637,0.28265589699360305,24
2,25,2,1.6075914827829965,0.8037957413914982,0.6075914827829965,0.2440971611380287,17
2,25,4,1.1425377536784627,0.5712688768392313,0.14253775367846266,0.7504892013947817,14
2,25,6,1.502690449024529,0.7513452245122645,0.502690449024529,0.3309461049002469,27
2,25,8,1.691609281298621,0.8458046406493105,0.691609281298621,0.1823061164955495,10
2,25,10,1.4484671781876592,0.7242335890938296,0.44846717818765924,0.3807699823080739,6
2,25,12,1.6244784042835647,0.8122392021417824,0.6244784042835647,0.2311644123592087,36
2,25,14,1.7320207560478489,0.8660103780239244,0.7320207560478489,0.15472057307421094,51
2,25,16,1.5089800976979655,0.7544900488489827,0.5089800976979655,0.32539852782095213,30
2,25,18,1.5264256301110166,0.7632128150555083,0.5264256301110166,0.31025053598879926,24
4,5,2,1.7867018004376978,0.44667545010942444,0.2622339334792326,0.4129206487283065,17
4,5,4,2.0722485118222007,0.5180621279555502,0.3574161706074002,0.3100901391539923,14
4,5,6,2.4112409063450064,0.6028102265862516,0.4704136354483355,0.21963229105731252,27
4,5,8,2.573369402248383,0.6433423505620958,0.5244564674161277,0.1847941194017401,10
4,5,10,1.7901308233364794,0.44753270583411986,0.2633769411121598,0.4114911878422987,6
4,5,12,2.214118606534783,0.5535296516336957,0.404706202178261,0.2688626508375748,36
4,5,14,1.4837754806108163,0.3709438701527041,0.16125849353693877,0.5652752167853468,51
4,5,16,1.514304053316365,0.37857601332909124,0.17143468443878832,0.5471591479575268,30
4,5,18,2.0394450527908363,0.5098612631977091,0.3464816842636121,0.32043928559982254,24
4,15,2,2.130730632439371,0.5326826581098427,0.37691021081312365,0.2924301081049982,17
4,15,4,2.223197269098415,0.5557993172746037,0.407732423032805,0.2664035194714774,14
4,15,6,2.5058677623759733,0.6264669405939933,0.5019559207919911,0.19875114189416823,27
4,15,8,2.6228798620835425,0.6557199655208856,0.5409599540278475,0.1750137521005266,10
4,15,10,2.1140352730660332,0.5285088182665083,0.3713450910220111,0.2973720055608327,6
4,15,12,2.467726994935277,0.6169317487338193,0.4892423316450924,0.20697494876993217,36
4,15,14,1.815356079818228,0.453839019954557,0.27178535993940933,0.4011414885246684,51
4,15,16,1.8196491878602754,0.45491229696506885,0.2732163959534251,0.39940863815689626,30
4,15,18,2.001566211000375,0.5003915527500937,0.3338554036667916,0.33281167151611335,24
4,25,2,2.740326241981165,0.6850815604952912,0.580108747327055,0.15322673856868133,17
4,25,4,2.7498647034440107,0.6874661758610027,0.5832882344813369,0.15153900662703923,14
4,25,6,2.945907845560206,0.7364769613900515,0.6486359485200687,0.11927190866118709,27
4,25,8,3.450074483455158,0.8625186208637895,0.8166914944850526,0.05313175306620299,10
4,25,10,2.832377172373851,0.7080942930934627,0.6107923907912837,0.13741376431251093,6
4,25,12,2.8510792030910226,0.7127698007727556,0.6170264010303409,0.13432583653041097,36
4,25,14,2.3971352246271143,0.5992838061567786,0.46571174154237144,0.22288615717986446,51
4,25,16,2.5461935554036375,0.6365483888509094,0.5153978518012124,0.19032415943805403,30
4,25,18,2.7238063171150055,0.6809515792787514,0.5746021057050018,0.15617773247018904,24
8,5,2,2.5886985975471495,0.3235873246933937,0.22695694250673565,0.298622272297648,17
8,5,4,2.287546736894624,0.285943342111828,0.1839352481278034,0.3567423295490853,14
8,5,6,3.314983065219224,0.414372883152403,0.33071186645988915,0.20189790426451243,27
8,5,8,3.7192191604260287,0.4649023950532536,0.38845988006086124,0.1644270191028722,10
8,5,10,2.1666644407389946,0.2708330550923743,0.16666634867699923,0.384615926515493,6
8,5,12,2.94185950189794,0.3677324377372425,0.2774085002711343,0.245624068471892,36
8,5,14,1.7775978193262387,0.22219972741577984,0.11108540276089125,0.500065080849409,51
8,5,16,2.2956602361410665,0.2869575295176333,0.1850943194487238,0.3549766066084358,30
8,5,18,2.2830953176804374,0.2853869147100547,0.18329933109720534,0.3577164135803757,24
8,15,2,3.0210267164192683,0.37762833955240854,0.28871810234560974,0.2354437628070536,17
8,15,4,3.418354154141616,0.427294269267702,0.3454791648773737,0.1914725056587893,14
8,15,6,3.1926870186463443,0.39908587733079304,0.3132410026637635,0.21510376473651746,27
8,15,8,4.071095385002458,0.5088869231253073,0.4387279121432083,0.13786758471060803,10
8,15,10,3.5426163305502802,0.44282704131878503,0.36323090436432576,0.17974542999319487,6
8,15,12,3.493231667145975,0.4366539583932469,0.356175952449425,0.18430614081676103,36
8,15,14,2.300470569752418,0.28755882121905224,0.18578150996463114,0.35393562549378627,51
8,15,16,2.8439355627097003,0.35549194533871253,0.2634193661013858,0.2590004652555491,30
8,15,18,3.4709944828688637,0.43387431035860796,0.3529992118384091,0.18640213672331413,24
8,25,2,2.969294395431931,0.37116179942899136,0.28132777077599014,0.24203468350246476,17
8,25,4,2.7505880569686436,0.34382350712108045,0.25008400813837767,0.27263842361334417,14
8,25,6,3.0770433753413897,0.3846304219176737,0.2967204821916271,0.22855690740152332,27
8,25,8,3.3680438183584887,0.4210054772948111,0.33829197405121264,0.19646657277496152,10
8,25,10,2.9116641032368724,0.36395801290460905,0.27309487189098175,0.2496528110165331,6
8,25,12,2.8308491052212807,0.3538561381526601,0.2615498721744687,0.2608581737767363,36
8,25,14,2.65796249197661,0.33224531149707626,0.23685178456808714,0.28711775193802413,51
8,25,16,2.995096931917033,0.37438711648962913,0.28501384741671903,0.23871886915047152,30
8,25,18,2.8015695572063164,0.35019619465078955,0.2573670796009023,0.26507745220491336,24
