walk_size, nworkers, batch_size, |V|, |E|, tempo, memoria
2,1,5,13,17,53.39762353897095,555384
2,1,5,13,17,53.99208998680115,556316
2,1,5,13,17,52.60360646247864,555160
2,1,5,13,17,52.4985089302063,555104
2,1,5,13,17,52.922283411026,555524
4,1,5,10,14,1.543741226196289,556496
4,1,5,10,14,1.596135139465332,555916
4,1,5,10,14,1.6127502918243408,555056
4,1,5,10,14,1.5900366306304932,554812
4,1,5,10,14,1.6897077560424805,556280
6,1,5,16,27,14.123461484909058,555192
6,1,5,16,27,13.503283739089966,554976
6,1,5,16,27,14.107296466827393,555084
6,1,5,16,27,14.98350191116333,555008
6,1,5,16,27,16.022993326187134,555152
8,1,5,8,10,2.73512864112854,555220
8,1,5,8,10,2.235757827758789,555220
8,1,5,8,10,2.2546870708465576,555052
8,1,5,8,10,2.3261122703552246,555072
8,1,5,8,10,2.42802357673645,555472
10,1,5,4,6,1.551382303237915,557060
10,1,5,4,6,1.5625944137573242,557156
10,1,5,4,6,1.5360276699066162,555536
10,1,5,4,6,1.572730541229248,557708
10,1,5,4,6,1.551640510559082,556016
12,1,5,19,36,7.796991586685181,556012
12,1,5,19,36,7.9459288120269775,555176
12,1,5,19,36,8.48754072189331,555000
12,1,5,19,36,7.999028205871582,554952
12,1,5,19,36,7.659399032592773,555504
14,1,5,24,51,3.5933594703674316,555004
14,1,5,24,51,3.366058826446533,554532
14,1,5,24,51,3.3876702785491943,554564
14,1,5,24,51,3.358733892440796,554856
14,1,5,24,51,3.7812581062316895,555112
16,1,5,16,30,68.78168606758118,555520
16,1,5,16,30,64.6971845626831,555236
16,1,5,16,30,68.42519187927246,555416
16,1,5,16,30,68.5638530254364,554696
16,1,5,16,30,72.1973466873169,555112
18,1,5,16,24,1.727252721786499,555628
18,1,5,16,24,1.696211814880371,555728
18,1,5,16,24,1.708991527557373,555364
18,1,5,16,24,1.703054428100586,556200
18,1,5,16,24,1.7416958808898926,556664
2,1,15,13,17,56.69377827644348,556088
2,1,15,13,17,58.21541690826416,556104
2,1,15,13,17,53.23037123680115,556116
2,1,15,13,17,51.23236131668091,556192
2,1,15,13,17,53.241554498672485,555892
4,1,15,10,14,1.369678020477295,557700
4,1,15,10,14,1.3364088535308838,557260
4,1,15,10,14,1.396613597869873,557348
4,1,15,10,14,1.2985711097717285,557668
4,1,15,10,14,1.3266465663909912,557484
6,1,15,16,27,13.48457384109497,555900
6,1,15,16,27,13.442286014556885,556008
6,1,15,16,27,13.27880573272705,556124
6,1,15,16,27,13.547654628753662,556284
6,1,15,16,27,13.509256362915039,556528
8,1,15,8,10,2.1329548358917236,557384
8,1,15,8,10,2.039402723312378,557268
8,1,15,8,10,2.0775413513183594,556948
8,1,15,8,10,2.066124439239502,557480
8,1,15,8,10,2.1155800819396973,558536
10,1,15,4,6,1.2560882568359375,558008
10,1,15,4,6,1.2734644412994385,558152
10,1,15,4,6,1.2993061542510986,557276
10,1,15,4,6,1.252746343612671,557604
10,1,15,4,6,1.311286211013794,557640
12,1,15,19,36,7.7131266593933105,556060
12,1,15,19,36,8.170198917388916,556928
12,1,15,19,36,6.9596123695373535,555940
12,1,15,19,36,7.859706163406372,556064
12,1,15,19,36,7.44660496711731,555984
14,1,15,24,51,3.382394552230835,554652
14,1,15,24,51,3.012453556060791,554904
14,1,15,24,51,3.0618040561676025,554680
14,1,15,24,51,3.1245992183685303,554568
14,1,15,24,51,2.982287883758545,555828
16,1,15,16,30,65.18517565727234,556128
16,1,15,16,30,73.42797517776489,556164
16,1,15,16,30,65.55576157569885,556404
16,1,15,16,30,68.47668385505676,555908
16,1,15,16,30,63.76996922492981,556104
18,1,15,16,24,1.4449207782745361,557444
18,1,15,16,24,1.4450759887695312,557640
18,1,15,16,24,1.489858627319336,558068
18,1,15,16,24,1.4282708168029785,557696
18,1,15,16,24,1.5845942497253418,557528
2,1,25,13,17,53.63358235359192,557032
2,1,25,13,17,55.34077715873718,557144
2,1,25,13,17,53.751734495162964,558340
2,1,25,13,17,53.441948890686035,557012
2,1,25,13,17,53.054675340652466,557244
4,1,25,10,14,1.169745922088623,557788
4,1,25,10,14,1.0632057189941406,557732
4,1,25,10,14,1.1476151943206787,558200
4,1,25,10,14,1.1487669944763184,557672
4,1,25,10,14,1.1123783588409424,557980
6,1,25,16,27,14.142832040786743,556112
6,1,25,16,27,13.736817836761475,557144
6,1,25,16,27,13.279537200927734,557016
6,1,25,16,27,14.42720365524292,556980
6,1,25,16,27,15.045403957366943,557272
8,1,25,8,10,1.935286045074463,558740
8,1,25,8,10,1.9360466003417969,558504
8,1,25,8,10,1.8711552619934082,557780
8,1,25,8,10,1.9747939109802246,557576
8,1,25,8,10,2.0689611434936523,557792
10,1,25,4,6,1.171609878540039,558268
10,1,25,4,6,1.0864322185516357,557544
10,1,25,4,6,1.1526782512664795,558672
10,1,25,4,6,1.166456937789917,557700
10,1,25,4,6,1.095327377319336,558536
12,1,25,19,36,7.71740198135376,557392
12,1,25,19,36,7.651641368865967,557040
12,1,25,19,36,7.10284948348999,557884
12,1,25,19,36,7.323089599609375,557308
12,1,25,19,36,7.9572508335113525,556936
14,1,25,24,51,3.150724411010742,555820
14,1,25,24,51,3.314136028289795,556632
14,1,25,24,51,3.572786331176758,555820
14,1,25,24,51,3.5625805854797363,555568
14,1,25,24,51,3.4501266479492188,555912
16,1,25,16,30,65.23455262184143,556988
16,1,25,16,30,63.590564012527466,557296
16,1,25,16,30,61.68048906326294,556212
16,1,25,16,30,71.76264786720276,557032
16,1,25,16,30,71.42481970787048,557328
18,1,25,16,24,1.4083425998687744,557788
18,1,25,16,24,1.3066067695617676,557552
18,1,25,16,24,1.3851525783538818,557816
18,1,25,16,24,1.2831497192382812,557548
18,1,25,16,24,1.2920520305633545,557888
2,2,5,13,17,45.69009757041931,554948
2,2,5,13,17,47.61119985580444,555144
2,2,5,13,17,47.272711992263794,555008
2,2,5,13,17,45.17439913749695,555428
2,2,5,13,17,45.53452181816101,554780
4,2,5,10,14,1.137829303741455,555884
4,2,5,10,14,1.4074749946594238,556776
4,2,5,10,14,1.1117827892303467,556504
