nworkers, batch_size, walk_size, |E|, media de tempo, limite inferior, limete superior
1,5,2,5,0.4894765853881836,0.46657406027835424,0.512379110498013
1,5,4,7,0.48175783157348634,0.4577703364302949,0.5057453267166777
1,5,6,7,0.476680850982666,0.4652543081612441,0.4881073938040879
1,5,8,7,0.4269388675689697,0.4144595933298701,0.4394181418080693
1,5,10,10,0.4023762226104736,0.3870319572861224,0.41772048793482486
1,5,12,7,0.41333441734313964,0.40680661025580045,0.4198622244304788
1,5,14,14,1.0636971473693848,1.0353742869444253,1.0920200077943443
1,5,16,10,0.8044744968414307,0.7944368546269142,0.8145121390559472
1,5,18,7,0.40704545974731443,0.38384392325026456,0.4302469962443643
1,15,2,5,0.2884537220001221,0.28022581811504027,0.2966816258852039
1,15,4,7,0.2868091583251953,0.27304209188283096,0.3005762247675597
1,15,6,7,0.24350929260253906,0.23751789509087676,0.24950069011420137
1,15,8,7,0.22072429656982423,0.21798400653760547,0.223464586602043
1,15,10,10,0.2074371337890625,0.2025471939334458,0.2123270736446792
1,15,12,7,0.20487475395202637,0.1999700758369054,0.20977943206714733
1,15,14,14,0.8759572029113769,0.8157414254000125,0.9361729804227413
1,15,16,10,0.6227956771850586,0.5901840416949956,0.6554073126751215
1,15,18,7,0.2062687873840332,0.2021391291536867,0.2103984456143797
1,25,2,5,0.2700198173522949,0.2574656867362928,0.28257394796829705
1,25,4,7,0.2654472827911377,0.25676915240181863,0.2741254131804568
1,25,6,7,0.22436895370483398,0.20799304568822002,0.24074486172144793
1,25,8,7,0.19807901382446289,0.1869179168789122,0.20924011077001356
1,25,10,10,0.1821129322052002,0.17351473351982866,0.19071113089057173
1,25,12,7,0.19042549133300782,0.18012137406983014,0.2007296085961855
1,25,14,14,0.8023921489715576,0.7880121502765218,0.8167721476665935
1,25,16,10,0.621375846862793,0.5605130882151039,0.6822386055104821
1,25,18,7,0.17853231430053712,0.17576370627844737,0.18130092232262687
2,5,2,5,0.35331072807312014,0.34952224914224206,0.3570992070039982
2,5,4,7,0.34778103828430174,0.34031051403512025,0.3552515625334832
2,5,6,7,0.3330957889556885,0.3017792654121106,0.36441231249926637
2,5,8,7,0.3268705368041992,0.3092924925572387,0.3444485810511597
2,5,10,10,0.33730182647705076,0.3105120476913176,0.3640916052627839
2,5,12,7,0.3546170234680176,0.32222925711346273,0.38700478982257247
2,5,14,14,0.842959213256836,0.7312022556276516,0.9547161708860203
2,5,16,10,0.6164219379425049,0.5472615872392166,0.6855822886457932
2,5,18,7,0.2941795825958252,0.28857278118280055,0.2997863840088499
2,15,2,5,0.20296382904052734,0.19291301317455772,0.21301464490649696
2,15,4,7,0.18386516571044922,0.17772582964701547,0.19000450177388298
2,15,6,7,0.16218762397766112,0.1574298732766279,0.16694537467869433
2,15,8,7,0.14875283241271972,0.14633862240043577,0.15116704242500367
2,15,10,10,0.13634443283081055,0.13282360246239733,0.13986526319922377
2,15,12,7,0.14505271911621093,0.14154120527250041,0.14856423295992144
2,15,14,14,0.6542221069335937,0.6111312336793397,0.6973129801878477
2,15,16,10,0.4428580284118652,0.41698173743876127,0.4687343193849692
2,15,18,7,0.14762406349182128,0.1424388318073783,0.15280929517626426
2,25,2,5,0.1754152774810791,0.16049066312125526,0.19033989184090294
2,25,4,7,0.17494430541992187,0.16518316324491183,0.1847054475949319
2,25,6,7,0.14889755249023437,0.13993173268017772,0.15786337230029102
2,25,8,7,0.13475852012634276,0.12680926201386683,0.1427077782388187
2,25,10,10,0.12670474052429198,0.11851358194699,0.13489589910159397
2,25,12,7,0.12874407768249513,0.12449805010721843,0.13299010525777183
2,25,14,14,0.5729756832122803,0.5478533006589936,0.598098065765567
2,25,16,10,0.39331798553466796,0.37115765663353933,0.4154783144357966
2,25,18,7,0.11791911125183105,0.11320413679474843,0.12263408570891367
4,5,2,5,0.2691348552703857,0.2555256375665745,0.28274407297419696
4,5,4,7,0.2646008014678955,0.24660549884708818,0.2825961040887028
4,5,6,7,0.25600481033325195,0.23866416304434981,0.2733454576221541
4,5,8,7,0.24179649353027344,0.23364846622614088,0.249944520834406
4,5,10,10,0.23600478172302247,0.22065565378414032,0.25135390966190463
4,5,12,7,0.23995490074157716,0.22790834751138575,0.2520014539717686
4,5,14,14,0.5566004276275635,0.5319580877991417,0.5812427674559852
4,5,16,10,0.41858110427856443,0.4063532939553439,0.43080891460178494
4,5,18,7,0.23127665519714355,0.21431969790387567,0.24823361249041143
4,15,2,5,0.14885058403015136,0.13986073405138302,0.1578404340089197
4,15,4,7,0.15167040824890138,0.1405037640452969,0.16283705245250585
4,15,6,7,0.11973247528076172,0.11145866206154034,0.1280062884999831
4,15,8,7,0.11119279861450196,0.1033225046572273,0.11906309257177662
4,15,10,10,0.0969398021697998,0.09138735413595972,0.10249225020363989
4,15,12,7,0.10319318771362304,0.09677227973996215,0.10961409568728393
4,15,14,14,0.41813364028930666,0.40450098508600735,0.431766295492606
4,15,16,10,0.29955759048461916,0.2775127884676238,0.32160239250161454
4,15,18,7,0.10678300857543946,0.09584990497721449,0.11771611217366443
4,25,2,5,0.11971445083618164,0.11371812321320461,0.12571077845915868
4,25,4,7,0.11425738334655762,0.10739505865711087,0.12111970803600437
4,25,6,7,0.11166625022888184,0.09464694639792091,0.12868555405984278
4,25,8,7,0.0977963924407959,0.09490142987612325,0.10069135500546854
4,25,10,10,0.09117836952209472,0.08957724385318626,0.09277949519100319
4,25,12,7,0.10265569686889649,0.09339691915263892,0.11191447458515405
4,25,14,14,0.3218705654144287,0.29077792058195095,0.35296321024690647
4,25,16,10,0.2262331008911133,0.20549270165797365,0.24697350012425293
4,25,18,7,0.09424433708190919,0.09032796564055241,0.09816070852326596
8,5,2,5,0.23255543708801268,0.2226261601828642,0.24248471399316116
8,5,4,7,0.2179544448852539,0.207821325223674,0.2280875645468338
8,5,6,7,0.22353205680847169,0.21286553709905845,0.23419857651788492
8,5,8,7,0.20652050971984864,0.18843365307265272,0.22460736636704456
8,5,10,10,0.19533629417419435,0.18612297847505635,0.20454960987333234
8,5,12,7,0.2022861957550049,0.1871616726375091,0.21741071887250069
8,5,14,14,0.41385908126831056,0.3897457485047869,0.43797241403183423
8,5,16,10,0.34810676574707033,0.29891406578063995,0.3972994657135007
8,5,18,7,0.19564757347106934,0.17853847262681583,0.21275667431532286
8,15,2,5,0.11959052085876465,0.09930202445959604,0.13987901725793325
8,15,4,7,0.11612906455993652,0.10271985827051913,0.1295382708493539
8,15,6,7,0.09705252647399902,0.08790957450351206,0.10619547844448599
8,15,8,7,0.08911218643188476,0.08086637947758175,0.09735799338618777
8,15,10,10,0.08384780883789063,0.0750557929226382,0.09263982475314306
8,15,12,7,0.09280910491943359,0.07947326293042623,0.10614494690844095
8,15,14,14,0.32123827934265137,0.2826742274853613,0.3598023311999414
8,15,16,10,0.23248562812805176,0.19746806587330432,0.2675031903827992
8,15,18,7,0.08342518806457519,0.079020873589728,0.08782950253942239
8,25,2,5,0.11183257102966308,0.10227447872398784,0.12139066333533832
8,25,4,7,0.10949006080627441,0.10149811369938726,0.11748200791316156
8,25,6,7,0.09492049217224122,0.08750502345796297,0.10233596088651946
8,25,8,7,0.08532028198242188,0.07532420967709132,0.09531635428775244
8,25,10,10,0.08917346000671386,0.0755827086397682,0.10276421137365953
8,25,12,7,0.07732429504394531,0.07123765673057583,0.08341093335731478
8,25,14,14,0.3122305393218994,0.2869856180854352,0.33747546055836364
8,25,16,10,0.21978497505187988,0.2026884346078242,0.23688151549593556
8,25,18,7,0.07291388511657715,0.07069915851021309,0.0751286117229412
