walk_size, nworkers, batch_size, |V|, |E|, tempo, memoria
2,1,5,6,5,0.51936936378479,531332
2,1,5,6,5,0.48967695236206055,531488
2,1,5,6,5,0.48647403717041016,530436
2,1,5,6,5,0.48268747329711914,530644
2,1,5,6,5,0.4691751003265381,531580
4,1,5,8,7,0.44915771484375,530664
4,1,5,8,7,0.4794135093688965,532268
4,1,5,8,7,0.49201369285583496,531056
4,1,5,8,7,0.4968094825744629,531336
4,1,5,8,7,0.4913947582244873,531328
6,1,5,8,7,0.4719681739807129,532416
6,1,5,8,7,0.47704553604125977,532260
6,1,5,8,7,0.47413110733032227,532392
6,1,5,8,7,0.49209046363830566,532316
6,1,5,8,7,0.4681689739227295,532256
8,1,5,8,7,0.4243481159210205,530992
8,1,5,8,7,0.4286811351776123,530612
8,1,5,8,7,0.43351078033447266,530432
8,1,5,8,7,0.41114020347595215,530764
8,1,5,8,7,0.437014102935791,530484
10,1,5,10,10,0.3997805118560791,530040
10,1,5,10,10,0.39311647415161133,529712
10,1,5,10,10,0.4224050045013428,529808
10,1,5,10,10,0.40476369857788086,529768
10,1,5,10,10,0.3918154239654541,529704
12,1,5,8,7,0.41083264350891113,530228
12,1,5,8,7,0.4207148551940918,531056
12,1,5,8,7,0.40986061096191406,531144
12,1,5,8,7,0.4169199466705322,530484
12,1,5,8,7,0.408344030380249,531408
14,1,5,13,14,1.0591506958007812,531316
14,1,5,13,14,1.067350149154663,530152
14,1,5,13,14,1.0617332458496094,530932
14,1,5,13,14,1.033193826675415,531024
14,1,5,13,14,1.097057819366455,530908
16,1,5,11,10,0.7970950603485107,530436
16,1,5,11,10,0.8020007610321045,530668
16,1,5,11,10,0.8113918304443359,531600
16,1,5,11,10,0.7973206043243408,531564
16,1,5,11,10,0.8145642280578613,530764
18,1,5,7,7,0.4191265106201172,531236
18,1,5,7,7,0.3832979202270508,532492
18,1,5,7,7,0.43160033226013184,532804
18,1,5,7,7,0.4012129306793213,532324
18,1,5,7,7,0.39998960494995117,532396
2,1,15,6,5,0.2865111827850342,530744
2,1,15,6,5,0.2938709259033203,530428
2,1,15,6,5,0.27890753746032715,530904
2,1,15,6,5,0.2874298095703125,531012
2,1,15,6,5,0.2955491542816162,530344
4,1,15,8,7,0.2997298240661621,530392
4,1,15,8,7,0.27632904052734375,530320
4,1,15,8,7,0.2747194766998291,530500
4,1,15,8,7,0.2949690818786621,530184
4,1,15,8,7,0.2882983684539795,530192
6,1,15,8,7,0.2420182228088379,530236
6,1,15,8,7,0.24402427673339844,531880
6,1,15,8,7,0.24393701553344727,530792
6,1,15,8,7,0.2505033016204834,531476
6,1,15,8,7,0.23706364631652832,530620
8,1,15,8,7,0.2213904857635498,530460
8,1,15,8,7,0.2220017910003662,530568
8,1,15,8,7,0.21700239181518555,530468
8,1,15,8,7,0.22062015533447266,530444
8,1,15,8,7,0.22260665893554688,530624
10,1,15,10,10,0.2009568214416504,530092
10,1,15,10,10,0.21153545379638672,530104
10,1,15,10,10,0.2072908878326416,530112
10,1,15,10,10,0.20857858657836914,529792
10,1,15,10,10,0.20882391929626465,529924
12,1,15,8,7,0.20133471488952637,530204
12,1,15,8,7,0.20104360580444336,530744
12,1,15,8,7,0.2085556983947754,531436
12,1,15,8,7,0.2039954662322998,531104
12,1,15,8,7,0.20944428443908691,531392
14,1,15,13,14,0.810624361038208,531300
14,1,15,13,14,0.907611608505249,531036
14,1,15,13,14,0.936469554901123,531060
14,1,15,13,14,0.8549473285675049,531012
14,1,15,13,14,0.8701331615447998,530296
16,1,15,11,10,0.6242163181304932,530792
16,1,15,11,10,0.6501011848449707,530748
16,1,15,11,10,0.6061875820159912,530152
16,1,15,11,10,0.6455674171447754,530344
16,1,15,11,10,0.5879058837890625,530064
18,1,15,7,7,0.20769500732421875,530224
18,1,15,7,7,0.20496702194213867,530620
18,1,15,7,7,0.21139860153198242,531568
18,1,15,7,7,0.20408844947814941,531600
18,1,15,7,7,0.20319485664367676,531808
2,1,25,6,5,0.2768893241882324,530896
2,1,25,6,5,0.2776169776916504,530540
2,1,25,6,5,0.2528510093688965,531552
2,1,25,6,5,0.2730414867401123,530976
2,1,25,6,5,0.269700288772583,530732
4,1,25,8,7,0.26906752586364746,532796
4,1,25,8,7,0.261411190032959,530768
4,1,25,8,7,0.27478766441345215,531696
4,1,25,8,7,0.2565732002258301,531944
4,1,25,8,7,0.2653968334197998,530820
6,1,25,8,7,0.22002315521240234,532612
6,1,25,8,7,0.2159583568572998,531496
6,1,25,8,7,0.23822021484375,531664
6,1,25,8,7,0.20943951606750488,531340
6,1,25,8,7,0.2382035255432129,532056
8,1,25,8,7,0.196183443069458,530576
8,1,25,8,7,0.1939091682434082,531084
8,1,25,8,7,0.1874701976776123,530716
8,1,25,8,7,0.2013835906982422,530348
8,1,25,8,7,0.21144866943359375,531452
10,1,25,10,10,0.18749189376831055,530168
10,1,25,10,10,0.17723894119262695,530088
10,1,25,10,10,0.18497228622436523,530304
10,1,25,10,10,0.18834543228149414,530300
10,1,25,10,10,0.1725161075592041,529972
12,1,25,8,7,0.19394421577453613,530460
12,1,25,8,7,0.18698740005493164,530560
12,1,25,8,7,0.1852736473083496,530764
12,1,25,8,7,0.20325350761413574,530684
12,1,25,8,7,0.18266868591308594,530556
14,1,25,13,14,0.8060812950134277,531704
14,1,25,13,14,0.812366247177124,531240
14,1,25,13,14,0.7967760562896729,531316
14,1,25,13,14,0.8117754459381104,531056
14,1,25,13,14,0.7849617004394531,531468
16,1,25,11,10,0.663665771484375,530748
16,1,25,11,10,0.5524768829345703,530752
16,1,25,11,10,0.6485090255737305,530536
16,1,25,11,10,0.5869169235229492,531776
16,1,25,11,10,0.6553106307983398,530564
18,1,25,7,7,0.1813030242919922,531748
18,1,25,7,7,0.17876982688903809,531884
18,1,25,7,7,0.17664742469787598,531980
18,1,25,7,7,0.17597436904907227,531864
18,1,25,7,7,0.17996692657470703,531960
2,2,5,6,5,0.35230469703674316,530328
2,2,5,6,5,0.3528306484222412,530848
2,2,5,6,5,0.3568613529205322,530184
2,2,5,6,5,0.3490183353424072,531460
2,2,5,6,5,0.35553860664367676,531928
4,2,5,8,7,0.3551924228668213,532148
4,2,5,8,7,0.3437976837158203,531064
4,2,5,8,7,0.34979248046875,531248
4,2,5,8,7,0.3503129482269287,531268
4,2,5,8,7,0.3398096561431885,531288
6,2,5,8,7,0.30282139778137207,531188
6,2,5,8,7,0.3445737361907959,531936
6,2,5,8,7,0.32956981658935547,531948
6,2,5,8,7,0.36910271644592285,531192
6,2,5,8,7,0.3194112777709961,532292
8,2,5,8,7,0.30557680130004883,531712
